rowid,kepid,kepoi_name,kepler_name,koi_period,koi_ror,koi_srho,koi_prad,koi_sma,koi_teq,koi_insol,koi_dor,koi_count,koi_steff,koi_slogg,koi_smet,koi_srad,koi_smass
2467,6528464,K00270.01,Kepler-449 b,12.58229808,0.009854,0.42153,1.53,0.1027,917.0,167.41,15.223,2,5587.0,4.091,-0.1,1.423,0.911
2473,5209845,K02883.01,Kepler-1378 b,11.95401876,0.029175,1.9413200000000002,2.1,0.0885,525.0,17.92,24.5,1,4359.0,4.611000000000001,-0.06,0.659,0.648
2476,6129524,K02886.01,Kepler-1379 b,0.88184263,0.014657,2.5447,1.24,0.0171,1564.0,1419.46,4.71,1,5268.0,4.593999999999999,-0.06,0.776,0.871
2477,5794570,K02675.01,Kepler-1312 b,5.448321077999999,0.021984,2.29696,2.17,0.0603,978.0,215.95,15.33,2,5721.0,4.5169999999999995,0.02,0.905,0.983
2481,6779260,K02678.01,Kepler-1313 b,3.8330876430000003,0.024847,0.74371,2.25,0.046,1012.0,247.8,8.33,2,5397.0,4.543,-0.02,0.831,0.878
2482,11807274,K00262.02,Kepler-50 c,9.37663713,0.011189,1.6653099999999998,1.89,0.0922,1125.0,379.3,19.78,2,6237.0,4.136,0.0,1.543,1.187
2486,10842192,K02736.01,Kepler-1329 b,9.33648141,0.033763,0.62878,2.39,0.0747,577.0,26.22,14.26,1,4442.0,4.619,-0.2,0.648,0.637
2487,2442448,K02812.01,Kepler-1354 b,76.6139446,0.023228,0.11129000000000001,2.61,0.3521,466.0,11.12,32.6,1,6173.0,4.408,-0.28,1.03,0.988
2490,11283615,K02816.01,Kepler-1355 b,1.2895901790000002,0.015625,3.61292,1.38,0.0224,1448.0,1040.23,6.82,1,5467.0,4.578,-0.08,0.808,0.906
2491,7605093,K02817.01,Kepler-1356 b,0.634003002,0.016444,5.99076,1.35,0.0136,1714.0,2030.16,5.03,1,5226.0,4.606,-0.16,0.75,0.84
2492,8077137,K00274.02,Kepler-128 c,22.8030252,0.007316,1.5918700000000001,1.29,0.1622,843.0,119.6,35.24,2,6063.0,4.061,-0.1,1.613,1.092
2498,6878240,K02681.01,Kepler-397 c,135.4978256,0.072673,1.317,6.01,0.4756,295.0,1.8,108.5,2,5307.0,4.572,-0.28,0.757,0.782
2499,6878240,K02681.02,Kepler-397 b,22.2508509,0.025072999999999998,10.858239999999999,2.07,0.1426,539.0,20.01,65.7,2,5307.0,4.572,-0.28,0.757,0.782
2503,4831728,K02739.01,Kepler-1330 b,10.10773789,0.015475999999999998,1.54105,1.98,0.0889,879.0,140.75,20.27,2,5480.0,4.26,0.16,1.174,0.915
2506,6528464,K00270.02,Kepler-449 c,33.67280658,0.011948,0.45683,1.86,0.1979,661.0,45.09,30.14,2,5587.0,4.091,-0.1,1.423,0.911
2507,11963206,K02820.01,Kepler-1357 b,3.00912491,0.012546,2.39163,1.22,0.041,1177.0,452.27,10.461,1,5713.0,4.541,0.07,0.893,1.01
2512,6937402,K02894.01,Kepler-1380 b,10.3108232,0.012975,0.49888000000000005,1.27,0.0917,786.0,90.1,14.1,1,5708.0,4.521,-0.02,0.893,0.967
2522,8095441,K02743.01,Kepler-1332 b,11.87457664,0.013737000000000001,9.958969999999999,1.32,0.0986,728.0,66.33,42.0,1,5523.0,4.506,0.0,0.88,0.907
2523,5881813,K02744.01,Kepler-1333 b,109.6469948,0.030575,0.91161,4.85,0.4382,428.0,7.95,83.4,2,5332.0,4.083,0.18,1.453,0.932
2524,12456601,K02745.01,Kepler-1334 b,15.64588656,0.021809000000000002,2.26608,2.18,0.1229,710.0,60.08,30.84,1,5896.0,4.518,-0.08,0.916,1.008
2529,7428736,K02827.01,Kepler-1358 b,7.06321927,0.01355,2.56925,1.21,0.0656,827.0,110.22,18.92,1,5305.0,4.489,-0.26,0.818,0.753
2531,11129258,K02898.01,Kepler-1381 b,25.384175,0.022465,4.58247,2.44,0.1728,649.0,42.01,53.84,1,6137.0,4.471,-0.12,0.994,1.067
2532,10586004,K00275.01,Kepler-129 b,15.79196594,0.012882,0.35927,2.4,0.1328,910.0,161.97,16.794,2,5758.0,4.072,0.3,1.704,1.251
2535,6521045,K00041.01,Kepler-100 c,12.81590421,0.014066999999999998,0.23998000000000003,2.26,0.109,939.0,183.68,12.77,3,5788.0,4.122,0.1,1.474,1.05
2537,8892303,K02688.01,Kepler-1314 b,5.424749327000001,0.079794,38.98397,5.15,0.0504,625.0,36.05,39.29,1,4137.0,4.658,-0.22,0.591,0.58
2541,6586746,K02747.01,Kepler-1335 b,6.26404774,0.017429,3.7679400000000003,1.55,0.0615,809.0,101.27,19.85,1,5032.0,4.511,0.08,0.817,0.789
2542,9962455,K02748.01,Kepler-1336 b,23.1985852,0.013623,0.1869,2.61,0.1595,793.0,93.34,17.45,2,5416.0,3.951,0.0,1.756,1.004
2543,9962455,K02748.02,Kepler-1336 c,5.77721259,0.011293000000000001,1.31431,2.17,0.0631,1260.0,596.37,13.24,2,5416.0,3.951,0.0,1.756,1.004
2545,6436029,K02828.01,Kepler-1359 b,59.4969009,0.032075,2.71881,2.92,0.2769,369.0,4.36,79.8,2,4817.0,4.499,0.42,0.833,0.8
2547,9451706,K00271.01,Kepler-127 d,48.6303805,0.016784,1.2128299999999999,2.48,0.2791,590.0,28.6,53.32,3,6075.0,4.263999999999999,0.32,1.352,1.225
2548,9244508,K02830.01,Kepler-1360 b,40.5289885,0.017565,0.25729,5.92,0.2866,933.0,178.81,28.16,1,6443.0,3.74,0.56,3.086,1.907
2552,3969687,K02904.01,Kepler-1382 b,16.3583482,0.011576999999999999,0.01719,2.23,0.1404,959.0,200.1,6.24,1,6133.0,4.084,0.36,1.765,1.377
2556,5185897,K02693.01,Kepler-398 b,4.081411554,0.014433000000000001,0.37842,1.0,0.0438,755.0,77.0,6.93,3,4498.0,4.6610000000000005,-0.08,0.635,0.698
2557,5185897,K02693.02,Kepler-398 c,11.41941928,0.014247,0.21529,0.99,0.0871,536.0,19.47,11.41,3,4498.0,4.6610000000000005,-0.08,0.635,0.698
